RESD_CD,RESD_DO_NM,RESC_CT_NM,,,,,
11110,서울,종로구,,,,,
11140,서울,중구,,,,,
11170,서울,용산구,,,,,
11200,서울,성동구,,,,,
11215,서울,광진구,,,,,
11230,서울,동대문구,,,,,
11260,서울,중랑구,,,,,
11290,서울,성북구,,,,,
11305,서울,강북구,,,,,
11320,서울,도봉구,,,,,
11350,서울,노원구,,,,,
11380,서울,은평구,,,,,
11410,서울,서대문구,,,,,
11440,서울,마포구,,,,,
11470,서울,양천구,,,,,
11500,서울,강서구,,,,,
11530,서울,구로구,,,,,
11545,서울,금천구,,,,,
11560,서울,영등포구,,,,,
11590,서울,동작구,,,,,
11620,서울,관악구,,,,,
11650,서울,서초구,,,,,
11680,서울,강남구,,,,,
11710,서울,송파구,,,,,
11740,서울,강동구,,,,,
26000,부산,,,,,,
27000,대구,,,,,,
28110,인천,중구,,,,,
28140,인천,동구,,,,,
28177,인천,미추홀구,,,,,
28185,인천,연수구,,,,,
28200,인천,남동구,,,,,
28237,인천,부평구,,,,,
28245,인천,계양구,,,,,
28260,인천,서구,,,,,
28710,인천,강화군,,,,,
28720,인천,옹진군,,,,,
29000,광주,,,,,,
30000,대전,,,,,,
31000,울산,,,,,,
36000,세종,,,,,,
41111,경기,수원시 장안구,,,,,
41113,경기,수원시 권선구,,,,,
41115,경기,수원시 팔달구,,,,,
41117,경기,수원시 영통구,,,,,
41131,경기,성남시 수정구,,,,,
41133,경기,성남시 중원구,,,,,
41135,경기,성남시 분당구,,,,,
41150,경기,의정부시,,,,,
41171,경기,안양시 만안구,,,,,
41173,경기,안양시 동안구,,,,,
41190,경기,부천시,,,,,
41210,경기,광명시,,,,,
41220,경기,평택시,,,,,
41250,경기,동두천시,,,,,
41271,경기,안산시 상록구,,,,,
41273,경기,안산시 단원구,,,,,
41281,경기,고양시 덕양구,,,,,
41285,경기,고양시 일산동구,,,,,
41287,경기,고양시 일산서구,,,,,
41290,경기,과천시,,,,,
41310,경기,구리시,,,,,
41360,경기,남양주시,,,,,
41370,경기,오산시,,,,,
41390,경기,시흥시,,,,,
41410,경기,군포시,,,,,
41430,경기,의왕시,,,,,
41450,경기,하남시,,,,,
41461,경기,용인시 처인구,,,,,
41463,경기,용인시 기흥구,,,,,
41465,경기,용인시 수지구,,,,,
41480,경기,파주시,,,,,
41500,경기,이천시,,,,,
41550,경기,안성시,,,,,
41570,경기,김포시,,,,,
41590,경기,화성시,,,,,
41610,경기,광주시,,,,,
41630,경기,양주시,,,,,
41650,경기,포천시,,,,,
41670,경기,여주시,,,,,
41800,경기,연천군,,,,,
41820,경기,가평군,,,,,
41830,경기,양평군,,,,,
42000,강원,,,,,,
43000,충북,,,,,,
44000,충남,,,,,,
45000,전북,,,,,,
46000,전남,,,,,,
47000,경북,,,,,,
48000,경남,,,,,,
50000,제주,,,,,,
