,심야약국,인구밀도,노년부양비,유년부양비,노령화지수,병원,종합병원,weights,필요도
금천구,0.0,0.10884698195146394,0.028194821243412882,0.0,0.04938022050308688,0.03386120767349041,0.06772486772486773,0.7507444206149547,99.0
서대문구,0.0,0.18161332150218654,0.09776572021078644,0.10093117842234828,0.05247055276519641,0.03238058452426935,0.15767195767195769,1.7020185542663333,99.0
강서구,0.14285714285714285,0.6641904743916431,0.4329218925329885,0.41724642334724754,0.3860157326006073,0.2744302819621476,0.5608465608465609,7.340605855221047,51.38424098654733
강북구,0.14285714285714285,0.3480169611969347,0.35230032811101797,0.09402761425666278,0.4433855926106114,0.09450238187202266,0.09047619047619049,4.560843339415727,31.92590337591009
은평구,0.2857142857142857,0.48710671926429894,0.4160760194878058,0.2825644867815477,0.36702663441574923,0.12604609244238446,0.23280423280423282,5.853716695696741,20.488008434938592
성북구,0.21428571428571427,0.39951802609070597,0.26673579250884183,0.2354704056512898,0.20078594481255885,0.05973992532509334,0.10317460317460318,4.177192942057738,19.493567062936112
강동구,0.3571428571428571,0.6377904492424784,0.42972600599406274,0.3944486068000999,0.3341892845640988,0.21063473670657912,0.39841269841269844,6.905461645997707,19.33529260879358
양천구,0.21428571428571427,0.4850095324907414,0.19094356774569266,0.3166541795997004,0.03721589157113592,0.04493369383288271,0.2984126984126984,4.07023945751455,18.994450801734565
강남구,0.7857142857142857,0.8446530663675331,1.0,1.0000000000000002,1.0000000000000002,1.0,0.7825396825396826,14.536653989854749,18.50119598708786
동대문구,0.5,0.6668652898706435,0.6444611735295369,0.31510221556245316,0.782734567182179,0.2187459765675293,0.5925925925925927,9.014562266612355,18.02912453322471
서초구,0.2857142857142857,0.3399967839082604,0.27505930145022217,0.5381569089157658,0.0,0.18024977468778164,0.12380952380952381,4.438448172125063,15.534568602437721
송파구,0.7857142857142857,1.0,0.73374714145704,0.7515252060366049,0.6113513180164318,0.40466074417406983,0.40634920634920635,11.754389924187818,14.960132630784495
구로구,0.3571428571428571,0.48832381464185926,0.291862562674886,0.2117093010810232,0.2617309286756796,0.08587614265482169,0.2084656084656085,4.793222198125437,13.421022154751226
영등포구,0.5714285714285714,0.5633476280805948,0.4431629333977244,0.3852260159120911,0.40199843770342425,0.12347109566113043,1.0,6.951759134181923,12.165578484818367
도봉구,0.14285714285714285,0.2166811408044033,0.10489609817763446,0.029772735381212334,0.03916533620211188,0.045191193511008115,0.06243386243386244,1.569470669655726,10.986294687590082
종로구,0.3571428571428571,0.04867385375631364,0.31865119384117135,0.06423704020835563,0.6740693029279359,0.008239989700012877,0.39153439153439157,3.8324095118346695,10.730746633137077
중구,0.2857142857142857,0.08372563141027176,0.23092765933269888,0.04809304648756646,0.5005498872816727,0.026651216685979147,0.17354497354497356,3.0016311169394174,10.50570890928796
광진구,0.21428571428571427,0.29806714956340197,0.04418845787821535,0.056388026686646,0.1173709563584786,0.03398995751255311,0.16296296296296298,2.0370344459884207,9.506160747945964
관악구,0.6428571428571428,0.595122122868935,0.2672897461755891,0.09417032359342109,0.615861764161739,0.14728981588773016,0.1216931216931217,5.8410543090025815,9.086084480670683
동작구,0.5,0.4337316276231491,0.24300100847975226,0.18801955117913594,0.22846531770123135,0.04557744302819622,0.20105820105820107,4.17417212722202,8.34834425444404
노원구,0.7142857142857142,0.517156478128571,0.40146016504978466,0.3483891683613401,0.2594474403689213,0.07325865842667698,0.3650793650793651,5.832213197162116,8.165098476026964
중랑구,0.5,0.3079961536267256,0.2553584364302657,0.13045417246423346,0.25689329103255476,0.13171108536114332,0.27936507936507937,3.6426836260159394,7.285367252031879
성동구,0.3571428571428571,0.22842828458246242,0.07853358521653903,0.11250847336687003,0.022252447940577957,0.033346208317239605,0.08042328042328042,1.7508064817657132,4.902258148943997
마포구,1.0,0.3673972128153623,0.16050452395494508,0.21888044525313072,0.15068967171215375,0.023625595468005668,0.0,3.38196056412056,3.38196056412056
용산구,0.21428571428571427,0.0,0.0,0.013931999001034673,0.028417695064376247,0.0,0.06402116402116402,0.1536626802384078,0.7170925077792364
